table,source,rows,row_bytes,f32_slots,file_bytes,datastart,longdata,error
EquipmentLineupParam,van,318,32,8,17899,7696,True,
EquipmentMenuManageCategoryParam,van,110,32,8,6268,2704,True,
FeFreeDialogParam,van,31,64,16,2819,808,True,
FeTextEffectParam,van,280,32,8,15772,6784,True,
FootIKParam,van,68,64,16,6069,1696,True,
FootIKSetupParam,van,86,132,33,13507,2128,True,
FootSfxParam,van,26,844,211,22654,688,True,
GameAreaParam,van,69,32,8,3951,1720,True,
GamePresenceParam,van,12,32,8,760,352,True,
GameSystemParam,van,1,712,178,817,88,True,
GarageCameraAnimParam,van,7,196,49,1636,232,True,
GarageCutsceneParam,van,3,80,20,405,136,True,
GeneratorTypeSfxIdRplace_PC,van,30,32,8,1777,784,True,
GraphicsParam,van,1,200,50,306,88,True,
GrassLodRangeParam,van,15,24,6,813,424,True,
GrassTypeParam,van,51,264,66,14776,1288,True,
HandIKParam,van,47,64,16,4221,1192,True,
HitEffectSfxConceptParam,van,64,128,32,9828,1600,True,
HitEffectSfxParam,van,71,240,60,18836,1768,True,
HitMtrlParam,van,45,96,24,5486,1144,True,
InteractiveSmokeParam,van,2,64,16,271,112,True,
ItemLotParam,van,291,156,39,52465,7048,True,
JigglerBaseParam,van,351,164,41,66078,8488,True,
JigglerBehaviorParam,van,49,64,16,4406,1240,True,
JigglerBehaviorSlideParam,van,33,80,20,3532,856,True,
JigglerBehaviorTargetBoneRateParam,van,42,64,16,3807,1072,True,
JigglerBehaviorWorldFixParam,van,4,32,8,328,160,True,
JumpSpecifyAltParam,van,35,44,11,2474,904,True,
KeyAssignDisplayParam,van,58,32,8,3341,1456,True,
KeyAssignMenuItemParam,van,24,16,4,1057,640,True,
KnockBackParam,van,4,80,20,503,160,True,
KnowledgeLoadScreenItemParam,van,5,28,7,363,184,True,
LoadBalancerDrawDistScaleParam,van,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_ps4,van,48,128,32,7403,1216,True,
LoadBalancerDrawDistScaleParam_ps5,van,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xb1,van,46,128,32,7099,1168,True,
LoadBalancerDrawDistScaleParam_xb1x,van,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xss,van,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xsx,van,22,128,32,3451,592,True,
LoadBalancerNewDrawDistScaleParam_ps4,van,14,48,12,1119,400,True,
LoadBalancerNewDrawDistScaleParam_ps5,van,1,56,14,183,88,True,
LoadBalancerNewDrawDistScaleParam_win64,van,14,48,12,1119,400,True,
LoadBalancerNewDrawDistScaleParam_xb1,van,9,48,12,759,280,True,
LoadBalancerNewDrawDistScaleParam_xb1x,van,9,48,12,759,280,True,
LoadBalancerNewDrawDistScaleParam_xss,van,1,56,14,183,88,True,
LoadBalancerNewDrawDistScaleParam_xsx,van,1,56,14,183,88,True,
LoadBalancerParam,van,33,80,20,3523,856,True,
LockCamParam,van,98,376,94,39286,2416,True,
LookAtHeadParam,van,4,32,8,314,160,True,
LookAtParam,van,469,124,31,69497,11320,True,
LookAtParam_Npc,van,993,124,31,147049,23896,True,
LookAtSpineParam,van,138,256,64,38731,3376,True,
Magic,van,151,80,20,15787,3688,True,
MailParam,van,46,128,32,7103,1168,True,
MapAreaParam,van,25,40,10,1690,664,True,
MapDefaultInfoParam,van,1,24,6,138,88,True,
MapGimmickParam,van,10,16,4,489,304,True,
MapPartsParam,van,1,40,10,143,88,True,
MaterialExParam,van,212,96,24,25529,5152,True,
MenuBehaviorParam,van,31,32,8,1824,808,True,
MenuColorTableParam,van,882,4,1,24790,21232,True,
MenuErrorHandlingParam,van,28,32,8,1661,736,True,
MenuFilter,van,28,52,13,2211,736,True,
MenuInputGestureParam,van,175,16,4,7092,4264,True,
MenuOffscrRendParam,van,140,80,20,14654,3424,True,
MenuParam,van,1,424,106,530,88,True,
MenuPartsModelRendParam,van,14,4,1,491,400,True,
MenuPropertyLayoutParam,van,2512,32,8,140760,60352,True,
MenuPropertySpecParam,van,508,108,27,67142,12256,True,
MenuValueTableParam,van,270,12,3,9810,6544,True,
MercenaryRankTable,van,16,16,4,733,448,True,
MessageBoxParam,van,141,24,6,6852,3448,True,
MiniAreaParam,van,2,16,4,167,112,True,
MissionParam,van,111,352,88,41912,2728,True,
MissionSystemMsgAnswerParam,van,41,16,4,1740,1048,True,
MissionSystemMsgCommonParam,van,21,64,16,1948,568,True,
MovementAcTypeParam,van,19,964,241,18856,520,True,
MovementEnemyTypeParam,van,216,688,172,153889,5248,True,
MovementFlyEnemyParam,van,10,112,28,1435,304,True,
MovementRideObjParam,van,3,68,17,344,136,True,
MultiPlayCorrectionParam,van,2,32,8,211,112,True,
NamePlateParam,van,122,16,4,4964,2992,True,
NetworkMsgParam,van,55,144,36,9329,1384,True,
NetworkParam,van,1,392,98,497,88,True,
NpcAiActionParam,van,126,20,5,5635,3088,True,
NpcArenaGameEffectParam,van,1,64,16,183,88,True,
NpcEquipPartsParam,van,137,612,153,87225,3352,True,
NpcMaterialParam,van,417,28,7,21774,10072,True,
NpcParam,van,1232,1920,480,2396305,29632,True,
NpcPartsParam,van,110,60,15,9327,2704,True,
NpcSystemMsgParam,van,3,32,8,257,136,True,
NpcThinkParam,van,1178,416,104,518407,28336,True,
NpcTransformParam,van,12,36,9,797,352,True,
ObjActParam,van,55,48,12,4045,1384,True,
OsReinforce,van,20,172,43,4010,544,True,
OsReinforcePoint,van,41,8,2,1408,1048,True,
PadRumble,van,174,84,21,18883,4240,True,
PartsBreakLotteryParam,van,8,20,5,449,256,True,
PartsBreakParam,van,1,104,26,193,88,True,
PartsDrawParam,van,152,144,36,25624,3712,True,
PartsDrawParam_ps4,van,152,144,36,25624,3712,True,
PartsDrawParam_ps5,van,152,144,36,25624,3712,True,
PartsDrawParam_scarlett,van,152,144,36,25624,3712,True,
PartsDrawParam_xb1,van,152,144,36,25624,3712,True,
PartsTokenParam,van,95,20,5,4268,2344,True,
PathFindCostParam,van,3,32,8,260,136,True,
PhantomParam,van,66,56,14,5365,1648,True,
PlayRegionParam,van,6,96,24,809,208,True,
PlayerCamouflagePattern,van,30,16,4,1303,784,True,
PlayerColoringPresetParam,van,6,392,98,2587,208,True,
PlayerMaterialPresetParam,van,46,64,16,4148,1168,True,
PlayerWeatheringTexPresetParam,van,24,36,9,1546,640,True,
PresetEmblemSpec,van,147,16,4,5969,3592,True,
RagdollParam,van,24,48,12,1813,640,True,
ReTargetAnimSetParam,van,35,64,16,3175,904,True,
ReinforceParamProtector,van,17,68,17,1646,472,True,
ReinforceParamWeapon,van,464,132,33,72478,11200,True,
RigidBodyParam,van,17,88,22,1992,472,True,
RoleParam,van,33,128,32,5098,856,True,
RuntimeSoundExpressionParam_Npc,van,459,48,12,33154,11080,True,
RuntimeSoundExpressionParam_Pc,van,677,48,12,48850,16312,True,
RuntimeSoundGlobalParam,van,15,32,8,905,424,True,
RuntimeSoundParam_Npc,van,260,64,16,22945,6304,True,
RuntimeSoundParam_Pc,van,165,64,16,14585,4024,True,
SeMaterialConvertParam,van,83,32,8,4745,2056,True,
SfxModelParam,van,4,32,8,311,160,True,
ShieldParam_Npc,van,5,96,24,684,184,True,
ShieldParam_Pc,van,2,96,24,324,112,True,
ShootReboundParam,van,51,196,49,11311,1288,True,
ShopLineupParam,van,248,32,8,13974,6016,True,
SkydomeAssetParam,van,47,40,10,3099,1192,True,
SoundAutoReverbEvaluationDistParam,van,6,20,5,375,208,True,
SoundAutoReverbSelectParam,van,5,32,8,382,184,True,
SoundCutsceneParam,van,105,40,10,6812,2584,True,
SoundIDSpatialSetting,van,6,32,8,428,208,True,
SoundParam,van,1,72,18,175,88,True,
SoundVoiceBankLoad,van,66,64,16,5910,1648,True,
SpEffectParam,van,4120,956,239,4037687,98944,True,
SpEffectVfxParam,van,791,196,49,174111,19048,True,
SubWindowCamParam,van,2,88,22,316,112,True,
TalkParam,van,6013,64,16,529226,144376,True,
TankArmourParam,van,11,52,13,922,328,True,
TankBaseParam,van,8,64,16,788,256,True,
TankWheelModelParam,van,85,28,7,4511,2104,True,
TankWheelParam,van,35,36,9,2185,904,True,
TentativePlayerParam,van,2,2112,528,4366,112,True,
ThrowParam,van,131,132,33,20519,3208,True,
ThrustersLocomotionParam_PC,van,74,272,68,22005,1840,True,
ThrustersParam_NPC,van,501,388,97,206503,12088,True,
ThrustersParam_PC,van,103,700,175,74662,2536,True,
ThrustersSfxIdParam_NPC,van,6,32,8,433,208,True,
ThrustersSfxIdParam_PC,van,22,32,8,1329,592,True,
TutorialActJudgeParam,van,31,9,,1118,808,True,
TutorialParam,van,201,48,12,14558,4888,True,
UnlockParam_Archive,van,4,16,4,250,160,True,
UnlockParam_Archive_Logs,van,50,16,4,2090,1264,True,
UnlockParam_Archive_Terms,van,2,16,4,170,112,True,
UnlockParam_Archive_Tips,van,114,16,4,4650,2800,True,
UnlockParam_DLC,van,1,24,6,130,88,True,
UnlockParam_DecalImage,van,36,16,4,1530,928,True,
UnlockParam_EmblemPiece,van,1,24,6,130,88,True,
UnlockParam_Equipment,van,24,16,4,1050,640,True,
UnlockParam_MenuCommand,van,22,16,4,970,592,True,
UnlockParam_NamePlate_Solo,van,21,16,4,930,568,True,
UnlockParam_NamePlate_Team,van,21,16,4,930,568,True,
UnlockParam_NpAcArena,van,41,16,4,1730,1048,True,
UnlockParam_OsPoint,van,41,16,4,1730,1048,True,
UnlockParam_Trophy,van,29,16,4,1250,760,True,
WepAbsorpPosParam,van,13,132,33,2106,376,True,
WetAspectParam,van,20,32,8,1208,544,True,
WhiteSignCoolTimeParam,van,10,16,4,498,304,True,
WorldMapLegacyConvParam,van,106,48,12,7731,2608,True,
WwiseValueToStrParam_ReflectAuxBusType,van,4,32,8,328,160,True,
WwiseValueToStrParam_ReflectTextureType,van,6,32,8,440,208,True,
WwiseValueToStrParam_ReverbAuxBusType,van,17,32,8,1056,472,True,
WwiseValueToStrParam_RuntimeReflectTextureType,van,100,32,8,5704,2464,True,
WwiseValueToStrParam_Switch_AttackPowerType,van,3,32,8,272,136,True,
WwiseValueToStrParam_Switch_BGMStatus,van,8,32,8,552,256,True,
WwiseValueToStrParam_Switch_BulletGenerateType,van,3,32,8,272,136,True,
WwiseValueToStrParam_Switch_DestroyedSeType,van,37,32,8,2176,952,True,
WwiseValueToStrParam_Switch_GeneratorType,van,3,32,8,272,136,True,
WwiseValueToStrParam_Switch_Material,van,115,32,8,6544,2824,True,
WwiseValueToStrParam_Switch_ShootSeCategory,van,38,32,8,2232,976,True,
WwiseValueToStrParam_Switch_WeaponAtkAttribute,van,6,32,8,440,208,True,
WwiseValueToStrParam_Switch_WeaponMaterial,van,17,32,8,1056,472,True,
WwiseValueToStrParam_Switch_Weapon_Type,van,14,32,8,888,400,True,
Zoomblur,van,7,32,8,473,232,True,
AccountParam,mob,186,16,4,13953,4528,True,
ActionButtonParam,mob,145,112,28,19850,3544,True,
AiSoundParam,mob,34,32,8,1990,880,True,
AnimMoveCorrectionParam,mob,22,64,16,2034,592,True,
ArchiveParam,mob,57,128,32,12042,1432,True,
ArenaParam,mob,46,96,24,7675,1168,True,
AssetEnvironmentGeometryParam,mob,5119,344,86,1884065,122920,True,
AssetMaterialSfxParam,mob,44,128,32,6784,1120,True,
AssetModelSfxParam,mob,364,128,32,55421,8800,True,
AssetTranscriptionParam,mob,288,24,6,13921,6976,True,
AtkNpcOperationPartsParam,mob,45,32,8,2621,1144,True,
AtkOperationPartsParam,mob,94,48,12,13359,2320,True,
AtkParam_Npc,mob,1748,1040,260,1862333,42016,True,
AtkParam_Pc,mob,953,1040,260,1038313,22936,True,
AttachObj_Npc,mob,29,544,136,17994,760,True,
AttachObj_Pc,mob,15,544,136,8700,424,True,
AttackActionParam_NPC,mob,1371,100,25,171667,32968,True,
AttackActionParam_PC,mob,438,100,25,66889,10576,True,
AutoAssembleEvaluate,mob,20,16,4,1451,544,True,
BehaviorChangeStateMatrixParam,mob,227,32,8,29428,5512,True,
BehaviorParam,mob,3069,208,52,713666,73720,True,
BehaviorParam_PC,mob,1011,208,52,255112,24328,True,
BladeHomingAngSpeedParam,mob,180,64,16,18440,4384,True,
BladeHomingAutoCancelEnableParam,mob,39,60,15,5749,1000,True,
BladeHomingParam,mob,10,64,16,970,304,True,
BonfireWarpParam,mob,15,32,8,930,424,True,
BoostParam,mob,2,128,32,387,112,True,
BudgetParam,mob,1,132,33,240,88,True,
Bullet,mob,716,888,222,675216,17248,True,
BulletCreateLimitParam,mob,2,32,8,209,112,True,
BulletShotgunParam_NPC,mob,91,444,111,43164,2248,True,
BulletShotgunParam_PC,mob,91,444,111,46210,2248,True,
Bullet_Npc,mob,2539,888,222,2318032,61000,True,
BuoyancyParam,mob,4,40,10,342,160,True,
CalcCorrectGraph,mob,169,80,20,21736,4120,True,
CartridgeBehaviorParam,mob,78,72,18,7584,1936,True,
CharaInitParam,mob,807,404,101,376531,19432,True,
ChrActTurnParam,mob,258,168,42,49926,6256,True,
ChrActTurnParam_Npc,mob,2124,168,42,407898,51040,True,
ChrHitMaterialCheckParam,mob,2,256,64,660,112,True,
ChrModelParam,mob,62,12,3,2319,1552,True,
ChrProxyPhysicsParam,mob,1,64,16,183,88,True,
CompanyContributePointParam,mob,26,32,8,1557,688,True,
CoolTimeParam,mob,40,32,8,2327,1024,True,
CutsceneGparamTimeParam,mob,4,12,3,242,160,True,
CutsceneGparamWeatherParam,mob,1,36,9,161,88,True,
CutsceneMapIdParam,mob,74,52,13,12273,1840,True,
CutsceneReplaceSfxParam,mob,38,4,1,1162,976,True,
CutsceneTimezoneConvertParam,mob,7,12,3,355,232,True,
CylinderParam,mob,101,64,16,10432,2488,True,
DamageLevelConvParam,mob,132,256,64,37055,3232,True,
DamageLevelConvThresholdParam,mob,57,208,52,14823,1432,True,
DecalParam,mob,248,252,63,68531,6016,True,
DefaultKeyAssignParam,mob,84,32,8,4792,2080,True,
DefaultKeyAssignParam01,mob,84,32,8,4792,2080,True,
DefaultKeyAssignParam02,mob,84,32,8,4792,2080,True,
Depthline,mob,4,64,16,434,160,True,
DirectionCameraParam,mob,6,20,5,358,208,True,
ENAutoRecoveryControlParam,mob,2,160,40,480,112,True,
EmblemPieceSpec,mob,997,16,4,39969,23992,True,
EnemyCommonParam,mob,1,256,64,370,88,True,
EquipMtrlSetParam,mob,28,52,13,2220,736,True,
EquipParamAccessory,mob,43,100,25,5425,1096,True,
EquipParamBooster,mob,30,384,96,13449,784,True,
EquipParamFcs,mob,19,208,52,5079,520,True,
EquipParamGenerator,mob,26,340,85,10257,688,True,
EquipParamGoods,mob,218,140,35,39343,5296,True,
EquipParamProtector,mob,163,900,225,156247,3976,True,
EquipParamWeapon,mob,335,1556,389,550030,8104,True,
EquipParamWeapon_Npc,mob,813,1104,276,918204,19576,True,
EquipmentLineupParam,mob,410,32,8,47169,9904,True,
EquipmentMenuManageCategoryParam,mob,110,32,8,9448,2704,True,
FeFreeDialogParam,mob,31,64,16,2819,808,True,
FeTextEffectParam,mob,296,32,8,17372,7168,True,
FootIKParam,mob,68,64,16,6069,1696,True,
FootIKSetupParam,mob,86,132,33,13507,2128,True,
FootSfxParam,mob,26,844,211,22654,688,True,
GameAreaParam,mob,69,32,8,3951,1720,True,
GamePresenceParam,mob,12,32,8,760,352,True,
GameSystemParam,mob,1,704,176,817,88,True,
GarageCameraAnimParam,mob,7,196,49,1636,232,True,
GarageCutsceneParam,mob,3,80,20,405,136,True,
GeneratorTypeSfxIdRplace_PC,mob,30,32,8,1835,784,True,
GraphicsParam,mob,1,196,49,306,88,True,
GrassLodRangeParam,mob,15,24,6,813,424,True,
GrassTypeParam,mob,51,264,66,16322,1288,True,
HandIKParam,mob,47,64,16,4221,1192,True,
HitEffectSfxConceptParam,mob,64,128,32,9828,1600,True,
HitEffectSfxParam,mob,71,240,60,18836,1768,True,
HitMtrlParam,mob,45,96,24,5486,1144,True,
InteractiveSmokeParam,mob,2,64,16,271,112,True,
ItemLotParam,mob,612,156,39,144819,14752,True,
JigglerBaseParam,mob,376,164,41,81718,9088,True,
JigglerBehaviorParam,mob,53,64,16,5192,1336,True,
JigglerBehaviorSlideParam,mob,35,80,20,3750,904,True,
JigglerBehaviorTargetBoneRateParam,mob,57,64,16,5187,1432,True,
JigglerBehaviorWorldFixParam,mob,7,32,8,496,232,True,
JumpSpecifyAltParam,mob,35,44,11,2474,904,True,
KeyAssignDisplayParam,mob,58,32,8,3341,1456,True,
KeyAssignMenuItemParam,mob,24,16,4,1057,640,True,
KnockBackParam,mob,4,80,20,503,160,True,
KnowledgeLoadScreenItemParam,mob,5,28,7,363,184,True,
LoadBalancerDrawDistScaleParam,mob,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_ps4,mob,48,128,32,7403,1216,True,
LoadBalancerDrawDistScaleParam_ps5,mob,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xb1,mob,46,128,32,7099,1168,True,
LoadBalancerDrawDistScaleParam_xb1x,mob,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xss,mob,22,128,32,3451,592,True,
LoadBalancerDrawDistScaleParam_xsx,mob,22,128,32,3451,592,True,
LoadBalancerNewDrawDistScaleParam_ps4,mob,14,48,12,1119,400,True,
LoadBalancerNewDrawDistScaleParam_ps5,mob,1,48,12,183,88,True,
LoadBalancerNewDrawDistScaleParam_win64,mob,14,48,12,1119,400,True,
LoadBalancerNewDrawDistScaleParam_xb1,mob,9,48,12,759,280,True,
LoadBalancerNewDrawDistScaleParam_xb1x,mob,9,48,12,759,280,True,
LoadBalancerNewDrawDistScaleParam_xss,mob,1,48,12,183,88,True,
LoadBalancerNewDrawDistScaleParam_xsx,mob,1,48,12,183,88,True,
LoadBalancerParam,mob,33,80,20,3523,856,True,
LockCamParam,mob,101,376,94,40862,2488,True,
LookAtHeadParam,mob,4,32,8,314,160,True,
LookAtParam,mob,472,124,31,70003,11392,True,
LookAtParam_Npc,mob,993,124,31,147049,23896,True,
LookAtSpineParam,mob,138,256,64,38731,3376,True,
Magic,mob,151,80,20,15787,3688,True,
MailParam,mob,46,128,32,7074,1168,True,
MapAreaParam,mob,25,40,10,1686,664,True,
MapDefaultInfoParam,mob,1,20,5,138,88,True,
MapGimmickParam,mob,10,16,4,489,304,True,
MapPartsParam,mob,1,32,8,143,88,True,
MaterialExParam,mob,212,96,24,25811,5152,True,
MenuBehaviorParam,mob,31,32,8,1824,808,True,
MenuColorTableParam,mob,882,4,1,24790,21232,True,
MenuErrorHandlingParam,mob,28,32,8,1661,736,True,
MenuFilter,mob,28,52,13,2211,736,True,
MenuInputGestureParam,mob,175,16,4,7092,4264,True,
MenuOffscrRendParam,mob,140,80,20,14654,3424,True,
MenuParam,mob,1,424,106,530,88,True,
MenuPartsModelRendParam,mob,14,4,1,491,400,True,
MenuPropertyLayoutParam,mob,2512,32,8,217900,60352,True,
MenuPropertySpecParam,mob,508,108,27,86434,12256,True,
MenuValueTableParam,mob,270,12,3,14624,6544,True,
MercenaryRankTable,mob,16,16,4,1255,448,True,
MessageBoxParam,mob,141,24,6,12568,3448,True,
MiniAreaParam,mob,2,16,4,167,112,True,
MissionParam,mob,111,352,88,46253,2728,True,
MissionSystemMsgAnswerParam,mob,41,16,4,4334,1048,True,
MissionSystemMsgCommonParam,mob,21,64,16,3174,568,True,
MovementAcTypeParam,mob,21,964,241,21344,568,True,
MovementEnemyTypeParam,mob,216,688,172,153889,5248,True,
MovementFlyEnemyParam,mob,10,112,28,1456,304,True,
MovementRideObjParam,mob,3,68,17,371,136,True,
MultiPlayCorrectionParam,mob,2,32,8,211,112,True,
NamePlateParam,mob,122,16,4,4964,2992,True,
NetworkMsgParam,mob,55,144,36,9329,1384,True,
NetworkParam,mob,1,384,96,493,88,True,
NpcAiActionParam,mob,126,20,5,10667,3088,True,
NpcArenaGameEffectParam,mob,1,64,16,201,88,True,
NpcEquipPartsParam,mob,137,612,153,94889,3352,True,
NpcMaterialParam,mob,417,28,7,25150,10072,True,
NpcParam,mob,1372,1920,480,2699977,32992,True,
NpcPartsParam,mob,110,60,15,9801,2704,True,
NpcSystemMsgParam,mob,3,32,8,257,136,True,
NpcThinkParam,mob,1272,416,104,576531,30592,True,
NpcTransformParam,mob,12,36,9,1099,352,True,
ObjActParam,mob,55,48,12,4045,1384,True,
OsReinforce,mob,20,172,43,5136,544,True,
OsReinforcePoint,mob,41,8,2,4522,1048,True,
PadRumble,mob,174,84,21,18883,4240,True,
PartsBreakLotteryParam,mob,8,20,5,449,256,True,
PartsBreakParam,mob,1,80,20,193,88,True,
PartsDrawParam,mob,152,144,36,25624,3712,True,
PartsDrawParam_ps4,mob,152,144,36,25624,3712,True,
PartsDrawParam_ps5,mob,152,144,36,25624,3712,True,
PartsDrawParam_scarlett,mob,152,144,36,25624,3712,True,
PartsDrawParam_xb1,mob,152,144,36,25624,3712,True,
PartsTokenParam,mob,95,20,5,14932,2344,True,
PathFindCostParam,mob,3,32,8,260,136,True,
PhantomParam,mob,66,56,14,5365,1648,True,
PlayRegionParam,mob,6,96,24,809,208,True,
PlayerCamouflagePattern,mob,30,16,4,1931,784,True,
PlayerColoringPresetParam,mob,6,392,98,2587,208,True,
PlayerMaterialPresetParam,mob,46,64,16,4148,1168,True,
PlayerWeatheringTexPresetParam,mob,24,36,9,3336,640,True,
PresetEmblemSpec,mob,148,16,4,6009,3616,True,
RagdollParam,mob,24,48,12,1813,640,True,
ReTargetAnimSetParam,mob,35,64,16,3175,904,True,
ReinforceParamProtector,mob,17,68,17,1661,472,True,
ReinforceParamWeapon,mob,464,132,33,72478,11200,True,
RigidBodyParam,mob,17,88,22,1992,472,True,
RoleParam,mob,33,128,32,5098,856,True,
RuntimeSoundExpressionParam_Npc,mob,459,48,12,33150,11080,True,
RuntimeSoundExpressionParam_Pc,mob,677,48,12,48846,16312,True,
RuntimeSoundGlobalParam,mob,15,32,8,938,424,True,
RuntimeSoundParam_Npc,mob,260,64,16,22971,6304,True,
RuntimeSoundParam_Pc,mob,165,64,16,14611,4024,True,
SeMaterialConvertParam,mob,83,32,8,4745,2056,True,
SfxModelParam,mob,7,32,8,479,232,True,
ShieldParam_Npc,mob,5,96,24,684,184,True,
ShieldParam_Pc,mob,2,96,24,324,112,True,
ShootReboundParam,mob,51,196,49,11311,1288,True,
ShopLineupParam,mob,248,32,8,23060,6016,True,
SkydomeAssetParam,mob,47,40,10,3881,1192,True,
SoundAutoReverbEvaluationDistParam,mob,6,20,5,375,208,True,
SoundAutoReverbSelectParam,mob,5,32,8,382,184,True,
SoundCutsceneParam,mob,106,40,10,6876,2608,True,
SoundIDSpatialSetting,mob,6,32,8,428,208,True,
SoundParam,mob,1,68,17,175,88,True,
SoundVoiceBankLoad,mob,66,64,16,5914,1648,True,
SpEffectParam,mob,4158,956,239,4687401,99856,True,
SpEffectVfxParam,mob,838,196,49,258679,20176,True,
SubWindowCamParam,mob,2,88,22,316,112,True,
TalkParam,mob,6025,64,16,953712,144664,True,
TankArmourParam,mob,11,52,13,922,328,True,
TankBaseParam,mob,8,64,16,788,256,True,
TankWheelModelParam,mob,85,28,7,4511,2104,True,
TankWheelParam,mob,35,36,9,2185,904,True,
TentativePlayerParam,mob,2,2112,528,4366,112,True,
ThrowParam,mob,131,132,33,31589,3208,True,
ThrustersLocomotionParam_PC,mob,80,272,68,23829,1984,True,
ThrustersParam_NPC,mob,501,388,97,206503,12088,True,
ThrustersParam_PC,mob,233,700,175,170060,5656,True,
ThrustersSfxIdParam_NPC,mob,6,32,8,433,208,True,
ThrustersSfxIdParam_PC,mob,22,32,8,2393,592,True,
TutorialActJudgeParam,mob,31,9,,2658,808,True,
TutorialParam,mob,201,48,12,24468,4888,True,
UnlockParam_Archive,mob,4,16,4,302,160,True,
