table,rows,row_bytes,f32_slots,file_bytes,datastart,longdata
CutsceneMapIdParam,74,52,13,5763,1840,True
EquipMtrlSetParam,28,52,13,2220,736,True
MenuFilter,28,52,13,2211,736,True
TankArmourParam,11,52,13,922,328,True
AtkOperationPartsParam,94,48,12,6865,2320,True
LoadBalancerNewDrawDistScaleParam_ps4,14,48,12,1119,400,True
LoadBalancerNewDrawDistScaleParam_win64,14,48,12,1119,400,True
LoadBalancerNewDrawDistScaleParam_xb1,9,48,12,759,280,True
LoadBalancerNewDrawDistScaleParam_xb1x,9,48,12,759,280,True
ObjActParam,55,48,12,4045,1384,True
RagdollParam,24,48,12,1813,640,True
RuntimeSoundExpressionParam_Npc,459,48,12,33154,11080,True
RuntimeSoundExpressionParam_Pc,677,48,12,48850,16312,True
TutorialParam,201,48,12,14558,4888,True
WorldMapLegacyConvParam,106,48,12,7731,2608,True
JumpSpecifyAltParam,35,44,11,2474,904,True
BuoyancyParam,4,40,10,342,160,True
CutsceneGparamWeatherParam,1,40,10,161,88,True
MapAreaParam,25,40,10,1690,664,True
MapPartsParam,1,40,10,143,88,True
SkydomeAssetParam,47,40,10,3099,1192,True
SoundCutsceneParam,105,40,10,6812,2584,True
NpcTransformParam,12,36,9,797,352,True
PlayerWeatheringTexPresetParam,24,36,9,1546,640,True
TankWheelParam,35,36,9,2185,904,True
AiSoundParam,34,32,8,1990,880,True
AtkNpcOperationPartsParam,45,32,8,2621,1144,True
BehaviorChangeStateMatrixParam,227,32,8,12818,5512,True
BonfireWarpParam,15,32,8,930,424,True
BulletCreateLimitParam,2,32,8,209,112,True
CompanyContributePointParam,26,32,8,1557,688,True
CoolTimeParam,40,32,8,2327,1024,True
DefaultKeyAssignParam,84,32,8,4792,2080,True
DefaultKeyAssignParam01,84,32,8,4792,2080,True
DefaultKeyAssignParam02,84,32,8,4792,2080,True
EquipmentLineupParam,318,32,8,17899,7696,True
EquipmentMenuManageCategoryParam,110,32,8,6268,2704,True
FeTextEffectParam,280,32,8,15772,6784,True
GameAreaParam,69,32,8,3951,1720,True
GamePresenceParam,12,32,8,760,352,True
GeneratorTypeSfxIdRplace_PC,30,32,8,1777,784,True
JigglerBehaviorWorldFixParam,4,32,8,328,160,True
KeyAssignDisplayParam,58,32,8,3341,1456,True
LookAtHeadParam,4,32,8,314,160,True
MenuBehaviorParam,31,32,8,1824,808,True
MenuErrorHandlingParam,28,32,8,1661,736,True
MenuPropertyLayoutParam,2512,32,8,140760,60352,True
MultiPlayCorrectionParam,2,32,8,211,112,True
NpcSystemMsgParam,3,32,8,257,136,True
PathFindCostParam,3,32,8,260,136,True
RuntimeSoundGlobalParam,15,32,8,905,424,True
SeMaterialConvertParam,83,32,8,4745,2056,True
SfxModelParam,4,32,8,311,160,True
ShopLineupParam,248,32,8,13974,6016,True
SoundAutoReverbSelectParam,5,32,8,382,184,True
SoundIDSpatialSetting,6,32,8,428,208,True
ThrustersSfxIdParam_NPC,6,32,8,433,208,True
ThrustersSfxIdParam_PC,22,32,8,1329,592,True
WetAspectParam,20,32,8,1208,544,True
WwiseValueToStrParam_ReflectAuxBusType,4,32,8,328,160,True
WwiseValueToStrParam_ReflectTextureType,6,32,8,440,208,True
WwiseValueToStrParam_ReverbAuxBusType,17,32,8,1056,472,True
WwiseValueToStrParam_RuntimeReflectTextureType,100,32,8,5704,2464,True
WwiseValueToStrParam_Switch_AttackPowerType,3,32,8,272,136,True
WwiseValueToStrParam_Switch_BGMStatus,8,32,8,552,256,True
WwiseValueToStrParam_Switch_BulletGenerateType,3,32,8,272,136,True
WwiseValueToStrParam_Switch_DestroyedSeType,37,32,8,2176,952,True
WwiseValueToStrParam_Switch_GeneratorType,3,32,8,272,136,True
WwiseValueToStrParam_Switch_Material,115,32,8,6544,2824,True
WwiseValueToStrParam_Switch_ShootSeCategory,38,32,8,2232,976,True
WwiseValueToStrParam_Switch_WeaponAtkAttribute,6,32,8,440,208,True
WwiseValueToStrParam_Switch_WeaponMaterial,17,32,8,1056,472,True
WwiseValueToStrParam_Switch_Weapon_Type,14,32,8,888,400,True
Zoomblur,7,32,8,473,232,True
KnowledgeLoadScreenItemParam,5,28,7,363,184,True
NpcMaterialParam,417,28,7,21774,10072,True
TankWheelModelParam,85,28,7,4511,2104,True
AssetTranscriptionParam,288,24,6,13921,6976,True
GrassLodRangeParam,15,24,6,813,424,True
MapDefaultInfoParam,1,24,6,138,88,True
MessageBoxParam,141,24,6,6852,3448,True
UnlockParam_DLC,1,24,6,130,88,True
UnlockParam_EmblemPiece,1,24,6,130,88,True
DirectionCameraParam,6,20,5,335,208,True
NpcAiActionParam,126,20,5,5635,3088,True
PartsBreakLotteryParam,8,20,5,449,256,True
PartsTokenParam,95,20,5,4268,2344,True
SoundAutoReverbEvaluationDistParam,6,20,5,375,208,True
AccountParam,181,16,4,7325,4408,True
AutoAssembleEvaluate,20,16,4,885,544,True
EmblemPieceSpec,997,16,4,39969,23992,True
KeyAssignMenuItemParam,24,16,4,1057,640,True
MapGimmickParam,10,16,4,489,304,True
MenuInputGestureParam,175,16,4,7092,4264,True
MercenaryRankTable,16,16,4,733,448,True
MiniAreaParam,2,16,4,167,112,True
MissionSystemMsgAnswerParam,41,16,4,1740,1048,True
NamePlateParam,122,16,4,4964,2992,True
PlayerCamouflagePattern,30,16,4,1303,784,True
PresetEmblemSpec,147,16,4,5969,3592,True
UnlockParam_Archive,4,16,4,250,160,True
UnlockParam_Archive_Logs,50,16,4,2090,1264,True
UnlockParam_Archive_Terms,2,16,4,170,112,True
UnlockParam_Archive_Tips,114,16,4,4650,2800,True
UnlockParam_DecalImage,36,16,4,1530,928,True
UnlockParam_Equipment,24,16,4,1050,640,True
UnlockParam_MenuCommand,22,16,4,970,592,True
UnlockParam_NamePlate_Solo,21,16,4,930,568,True
UnlockParam_NamePlate_Team,21,16,4,930,568,True
UnlockParam_NpAcArena,41,16,4,1730,1048,True
UnlockParam_OsPoint,41,16,4,1730,1048,True
UnlockParam_Trophy,29,16,4,1250,760,True
WhiteSignCoolTimeParam,10,16,4,498,304,True
ChrModelParam,62,12,3,2359,1552,True
CutsceneGparamTimeParam,4,12,3,213,160,True
CutsceneTimezoneConvertParam,7,12,3,324,232,True
MenuValueTableParam,270,12,3,9810,6544,True
TutorialActJudgeParam,31,9,,1118,808,True
OsReinforcePoint,41,8,2,1408,1048,True
CutsceneReplaceSfxParam,38,4,1,1162,976,True
MenuColorTableParam,882,4,1,24790,21232,True
MenuPartsModelRendParam,14,4,1,491,400,True
