table,verdict,rows,rowsize,def,def_match,max_nonzero_rate,fk_field,fk_space,fk_hit,fk_samples,fk_rate,fk_unique,fk_narrow_rate,deprecated_field_count,fk_skipped_deprecated
CutsceneGparamTimeParam,IN_USE,4,12,CutsceneGparamTimeParam,name+size,0.5000,,,0,0,,0,,0,
CutsceneGparamWeatherParam,IN_USE,1,40,CutsceneGparamWeatherParam,name(size diff -4),1.0000,,,0,0,,0,,0,
CutsceneMapIdParam,IN_USE,74,52,CutsceneMapIdParam,name+size,0.9865,,,0,0,,0,,0,
CutsceneReplaceSfxParam,IN_USE,38,4,CutsceneReplaceSfxParam,name+size,0.9737,,,0,0,,0,,0,
CutsceneTimezoneConvertParam,IN_USE,7,12,CutsceneTimezoneConvertParam,name+size,1.0000,,,0,0,,0,,0,
CylinderParam,IN_USE,95,64,CylinderParam,name+size,1.0000,,,0,0,,0,,0,
DamageLevelConvParam,IN_USE,132,256,DamageLevelConvParam,name+size,1.0000,,,0,0,,0,,0,
DamageLevelConvThresholdParam,IN_USE,57,208,DamageLevelConvThresholdParam,name+size,1.0000,,,0,0,,0,,0,
DecalParam,IN_USE,248,252,DecalParam,name+size,1.0000,,,0,0,,0,,0,
DefaultKeyAssignParam,NO_DEF,84,32,,unmatched,0.1499,,,0,0,,0,,0,
DefaultKeyAssignParam01,NO_DEF,84,32,,unmatched,0.1469,,,0,0,,0,,0,
DefaultKeyAssignParam02,NO_DEF,84,32,,unmatched,0.1488,,,0,0,,0,,0,
Depthline,IN_USE,4,64,Depthline,name+size,1.0000,,,0,0,,0,,0,
DirectionCameraParam,IN_USE,6,20,DirectionCameraParam,name+size,1.0000,,,0,0,,0,,0,
ENAutoRecoveryControlParam,IN_USE,2,160,ENAutoRecoveryControlParam,name+size,1.0000,,,0,0,,0,,0,
EmblemPieceSpec,IN_USE,997,16,EmblemPieceSpec,name+size,1.0000,,,0,0,,0,,0,
EnemyCommonParam,IN_USE,1,264,GrassTypeParam,size-only,1.0000,,,0,0,,0,,0,
EquipMtrlSetParam,IN_USE,28,52,EquipMtrlSetParam,name+size,1.0000,,,0,0,,0,,0,
EquipParamAccessory,IN_USE,43,100,EquipParamAccessory,name+size,1.0000,,,0,0,,0,,0,
EquipParamBooster,IN_USE,23,384,EquipParamBooster,name+size,1.0000,,,0,0,,0,,4,
EquipParamFcs,IN_USE,19,208,EquipParamFcs,name+size,1.0000,,,0,0,,0,,0,
EquipParamGenerator,IN_USE,24,340,EquipParamGenerator,name+size,1.0000,,,0,0,,0,,0,
EquipParamGoods,IN_USE,218,140,EquipParamGoods,name+size,1.0000,,,0,0,,0,,0,
EquipParamProtector,IN_USE,121,900,EquipParamProtector,name+size,1.0000,legTypeModelId,CHR,20,26,0.7692,6,0.7692,1,
EquipParamWeapon,IN_USE,284,1556,EquipParamWeapon,name+size,1.0000,,,0,0,,0,,5,
EquipParamWeapon_Npc,IN_USE,813,1104,EquipParamWeapon_NPC,size-only,1.0000,,,0,0,,0,,1,
EquipmentLineupParam,IN_USE,318,32,EquipmentLineupParam,name+size,1.0000,,,0,0,,0,,0,
EquipmentMenuManageCategoryParam,IN_USE,110,32,EquipmentMenuManageCategoryParam,name+size,0.9909,,,0,0,,0,,0,
FeFreeDialogParam,IN_USE,31,64,FeFreeDialogParam,name+size,1.0000,,,0,0,,0,,0,
FeTextEffectParam,IN_USE,280,32,FeTextEffectParam,name+size,1.0000,,,0,0,,0,,0,
FootIKParam,IN_USE,68,64,FootIKParam,name+size,1.0000,,,0,0,,0,,0,
FootIKSetupParam,IN_USE,86,132,FootIKSetupParam,name+size,1.0000,,,0,0,,0,,0,
FootSfxParam,IN_USE,26,844,FootSfxParam,name+size,0.8462,,,0,0,,0,,0,
GameAreaParam,IN_USE,69,32,GameAreaParam,name+size,1.0000,,,0,0,,0,,0,
GamePresenceParam,IN_USE,12,32,GamePresenceParam,name+size,0.7500,,,0,0,,0,,0,
GameSystemParam,IN_USE,1,712,GameSystemParam,name(size diff -8),1.0000,,,0,0,,0,,0,
GarageCameraAnimParam,IN_USE,7,196,GarageCameraAnimParam,name+size,1.0000,,,0,0,,0,,0,
GarageCutsceneParam,IN_USE,3,80,GarageCutsceneParam,name+size,0.6667,,,0,0,,0,,0,
GeneratorTypeSfxIdRplace_PC,NO_DEF,30,32,,unmatched,0.9094,,,0,0,,0,,0,
GraphicsParam,IN_USE,1,200,GraphicsParam,name(size diff -4),1.0000,,,0,0,,0,,0,
GrassLodRangeParam,IN_USE,15,24,GrassLodRangeParam,name+size,1.0000,,,0,0,,0,,0,
GrassTypeParam,IN_USE,51,264,GrassTypeParam,name+size,1.0000,,,0,0,,0,,0,
HandIKParam,IN_USE,47,64,HandIKParam,name+size,1.0000,,,0,0,,0,,0,
HitEffectSfxConceptParam,IN_USE,64,128,HitEffectSfxConceptParam,name+size,0.6406,,,0,0,,0,,0,
HitEffectSfxParam,IN_USE,71,240,HitEffectSfxParam,name+size,0.7465,,,0,0,,0,,0,
HitMtrlParam,IN_USE,45,96,HitMtrlParam,name+size,1.0000,,,0,0,,0,,0,
InteractiveSmokeParam,IN_USE,2,64,InteractiveSmokeParam,name+size,0.5000,,,0,0,,0,,0,
ItemLotParam,IN_USE,291,156,ItemLotParam,name+size,0.9966,,,0,0,,0,,0,
JigglerBaseParam,IN_USE,351,164,JigglerBaseParam,name+size,1.0000,,,0,0,,0,,0,
JigglerBehaviorParam,IN_USE,49,64,JigglerBehaviorParam,name+size,0.9796,,,0,0,,0,,0,
JigglerBehaviorSlideParam,IN_USE,33,80,JigglerBehaviorSlideParam,name+size,0.9697,,,0,0,,0,,0,
JigglerBehaviorTargetBoneRateParam,IN_USE,42,64,JigglerBehaviorTargetBoneRateParam,name+size,0.9762,,,0,0,,0,,0,
JigglerBehaviorWorldFixParam,IN_USE,4,32,JigglerBehaviorWorldFixParam,name+size,0.7500,,,0,0,,0,,0,
JumpSpecifyAltParam,IN_USE,35,44,JumpSpecifyAltParam,name+size,1.0000,,,0,0,,0,,0,
KeyAssignDisplayParam,IN_USE,58,32,KeyAssignDisplayParam,name+size,0.9483,,,0,0,,0,,0,
KeyAssignMenuItemParam,IN_USE,24,16,KeyAssignMenuItemParam,name+size,0.9583,,,0,0,,0,,0,
KnockBackParam,IN_USE,4,80,KnockBackParam,name+size,1.0000,,,0,0,,0,,0,
KnowledgeLoadScreenItemParam,IN_USE,5,28,KnowledgeLoadScreenItemParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam,IN_USE,22,128,LoadBalancerDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam_ps4,IN_USE,48,128,LoadBalancerDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam_ps5,NO_DEF,22,128,,unmatched,0.3281,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam_xb1,IN_USE,46,128,LoadBalancerDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam_xb1x,IN_USE,22,128,LoadBalancerDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam_xss,IN_USE,22,128,LoadBalancerDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerDrawDistScaleParam_xsx,IN_USE,22,128,LoadBalancerDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_ps4,IN_USE,14,48,LoadBalancerNewDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_ps5,IN_USE,1,56,PhantomParam,size-only,1.0000,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_win64,NO_DEF,14,48,,unmatched,0.2560,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_xb1,IN_USE,9,48,LoadBalancerNewDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_xb1x,IN_USE,9,48,LoadBalancerNewDrawDistScaleParam,name+size,1.0000,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_xss,IN_USE,1,56,PhantomParam,size-only,1.0000,,,0,0,,0,,0,
LoadBalancerNewDrawDistScaleParam_xsx,IN_USE,1,56,PhantomParam,size-only,1.0000,,,0,0,,0,,0,
LoadBalancerParam,IN_USE,33,80,LoadBalancerParam,name+size,1.0000,,,0,0,,0,,0,
LockCamParam,IN_USE,98,376,LockCamParam,name+size,1.0000,,,0,0,,0,,0,
LookAtHeadParam,IN_USE,4,32,LookAtHeadParam,name+size,1.0000,,,0,0,,0,,0,
LookAtParam,IN_USE,469,124,LookAtParam,name+size,1.0000,,,0,0,,0,,4,predictionBulletId
LookAtParam_Npc,IN_USE,993,124,LookAtParam,name+size,1.0000,,,0,0,,0,,4,predictionBulletId
LookAtSpineParam,IN_USE,138,256,LookAtSpineParam,name+size,1.0000,,,0,0,,0,,2,
Magic,IN_USE,151,80,MagicParam,name+size,1.0000,,,0,0,,0,,0,
MailParam,IN_USE,46,128,MailParam,name+size,1.0000,,,0,0,,0,,0,
MapAreaParam,IN_USE,25,40,MapAreaParam,name+size,0.8800,,,0,0,,0,,0,
MapDefaultInfoParam,EMPTY,1,24,MapDefaultInfoParam,name(size diff -4),0.0000,,,0,0,,0,,0,
MapGimmickParam,IN_USE,10,16,MapGimmickParam,name+size,0.6000,,,0,0,,0,,0,
MapPartsParam,IN_USE,1,40,MapPartsParam,name(size diff -8),1.0000,,,0,0,,0,,0,
MaterialExParam,IN_USE,212,96,MaterialEx,name+size,1.0000,,,0,0,,0,,0,
MenuBehaviorParam,IN_USE,31,32,MenuBehaviorParam,name+size,0.8387,,,0,0,,0,,0,
MenuColorTableParam,IN_USE,882,4,MenuColorTableParam,name+size,0.9932,,,0,0,,0,,0,
MenuErrorHandlingParam,IN_USE,28,32,MenuErrorHandlingParam,name+size,0.0357,,,0,0,,0,,0,
MenuFilter,IN_USE,28,52,MenuFilter,name+size,1.0000,,,0,0,,0,,0,
MenuInputGestureParam,IN_USE,175,16,MenuInputGestureParam,name+size,0.9600,,,0,0,,0,,0,
MenuOffscrRendParam,IN_USE,140,80,MenuOffscrRendParam,name+size,1.0000,,,0,0,,0,,0,
MenuParam,IN_USE,1,424,MenuParam,name+size,1.0000,,,0,0,,0,,0,
MenuPartsModelRendParam,IN_USE,14,4,MenuPartsModelRendParam,name+size,0.6429,,,0,0,,0,,0,
MenuPropertyLayoutParam,IN_USE,2512,32,MenuPropertyLayoutParam,name+size,0.6489,,,0,0,,0,,0,
MenuPropertySpecParam,IN_USE,508,108,MenuPropertySpecParam,name+size,0.8543,,,0,0,,0,,1,
MenuValueTableParam,NO_DEF,270,12,,unmatched,0.3423,,,0,0,,0,,0,
MercenaryRankTable,NO_DEF,16,16,,unmatched,0.1172,,,0,0,,0,,0,
MessageBoxParam,IN_USE,141,24,MessageBoxParam,name+size,1.0000,,,0,0,,0,,0,
MiniAreaParam,EMPTY,2,16,MiniAreaParam,name+size,0.0000,,,0,0,,0,,0,
MissionParam,IN_USE,111,352,MissionParam,name+size,1.0000,,,0,0,,0,,0,
MissionSystemMsgAnswerParam,IN_USE,41,16,MissionSystemMsgAnswerParam,name+size,0.9756,,,0,0,,0,,0,
MissionSystemMsgCommonParam,IN_USE,21,64,MissionSystemMsgCommonParam,name+size,1.0000,,,0,0,,0,,0,
MovementAcTypeParam,IN_USE,19,964,MovementAcTypeParam,name+size,1.0000,,,0,0,,0,,0,
MovementEnemyTypeParam,IN_USE,216,688,MovementEnemyTypeParam,name+size,1.0000,,,0,0,,0,,0,
MovementFlyEnemyParam,IN_USE,10,112,MovementFlyEnemyParam,name+size,1.0000,,,0,0,,0,,0,
MovementRideObjParam,IN_USE,3,68,MovementRideObjParam,name+size,1.0000,,,0,0,,0,,0,
MultiPlayCorrectionParam,IN_USE,2,32,MultiPlayCorrectionParam,name+size,1.0000,,,0,0,,0,,0,
NamePlateParam,IN_USE,122,16,NamePlateParam,name+size,0.8033,,,0,0,,0,,0,
NetworkMsgParam,IN_USE,55,144,NetworkMsgParam,name+size,0.7818,,,0,0,,0,,0,
NetworkParam,IN_USE,1,392,PlayerColoringPresetParam,size-only,1.0000,,,0,0,,0,,0,
NpcAiActionParam,IN_USE,126,20,NpcAiActionParam,name+size,0.9206,,,0,0,,0,,0,
NpcArenaGameEffectParam,IN_USE,1,64,NpcArenaGameEffectParam,name+size,1.0000,,,0,0,,0,,0,
NpcEquipPartsParam,IN_USE,137,612,NpcEquipPartsParam,name+size,0.4818,,,0,0,,0,,0,
NpcMaterialParam,IN_USE,417,28,NpcMaterialParam,name+size,0.9976,,,0,0,,0,,0,
NpcParam,IN_USE,1232,1920,NpcParam,name+size,1.0000,RetargetReferenceChrId,CHR,117,117,1.0000,3,0.0000,4,
NpcPartsParam,IN_USE,110,60,NpcPartsParam,name+size,1.0000,,,0,0,,0,,0,
NpcSystemMsgParam,IN_USE,3,32,NpcSystemMsgParam,name+size,1.0000,,,0,0,,0,,0,
NpcThinkParam,IN_USE,1178,416,NpcThinkParam,name+size,1.0000,,,0,0,,0,,0,
NpcTransformParam,IN_USE,12,36,NpcTransformParam,name+size,0.5000,,,0,0,,0,,0,
ObjActParam,IN_USE,55,48,ObjActParam,name+size,1.0000,,,0,0,,0,,0,
OsReinforce,IN_USE,20,172,OsReinforceParam,name+size,1.0000,,,0,0,,0,,0,
OsReinforcePoint,IN_USE,41,8,OsReinforcePointParam,name+size,0.9268,,,0,0,,0,,0,
PadRumble,IN_USE,174,84,CameraRumbleParam,size-only,1.0000,,,0,0,,0,,0,
PartsBreakLotteryParam,IN_USE,8,20,PartsBreakLotteryParam,name+size,0.8750,,,0,0,,0,,0,
PartsBreakParam,EMPTY,1,104,PartsBreakParam,name(size diff -24),0.0000,,,0,0,,0,,0,
PartsDrawParam,IN_USE,152,144,PartsDrawParam,name+size,1.0000,,,0,0,,0,,0,
PartsDrawParam_ps4,IN_USE,152,144,PartsDrawParam,name+size,1.0000,,,0,0,,0,,0,
PartsDrawParam_ps5,NO_DEF,152,144,,unmatched,0.3946,,,0,0,,0,,0,
PartsDrawParam_scarlett,NO_DEF,152,144,,unmatched,0.3946,,,0,0,,0,,0,
PartsDrawParam_xb1,IN_USE,152,144,PartsDrawParam,name+size,1.0000,,,0,0,,0,,0,
PartsTokenParam,IN_USE,95,20,PartsTokenParam,name+size,0.9895,,,0,0,,0,,0,
PathFindCostParam,IN_USE,3,32,PathFindCostParam,name+size,1.0000,,,0,0,,0,,0,
PhantomParam,IN_USE,66,56,PhantomParam,name+size,1.0000,,,0,0,,0,,0,
PlayRegionParam,IN_USE,6,96,PlayRegionParam,name+size,1.0000,,,0,0,,0,,0,
PlayerCamouflagePattern,IN_USE,30,16,PlayerCamouflagePattern,name+size,1.0000,,,0,0,,0,,0,
PlayerColoringPresetParam,IN_USE,6,392,PlayerColoringPresetParam,name+size,1.0000,,,0,0,,0,,0,
PlayerMaterialPresetParam,IN_USE,46,64,PlayerMaterialPresetParam,name+size,1.0000,,,0,0,,0,,0,
PlayerWeatheringTexPresetParam,IN_USE,24,36,PlayerWeatheringTexPresetParam,name+size,1.0000,,,0,0,,0,,0,
PresetEmblemSpec,NO_DEF,147,16,,unmatched,0.1569,,,0,0,,0,,0,
RagdollParam,IN_USE,24,48,RagdollParam,name+size,0.8750,,,0,0,,0,,0,
ReTargetAnimSetParam,IN_USE,35,64,ReTargetAnimSetParam,name+size,0.8286,,,0,0,,0,,0,
ReinforceParamProtector,IN_USE,17,68,ReinforceParamProtector,name+size,1.0000,,,0,0,,0,,0,
ReinforceParamWeapon,IN_USE,464,132,ReinforceParamWeapon,name+size,1.0000,,,0,0,,0,,0,
RigidBodyParam,IN_USE,17,88,RigidBodyParam,name+size,0.9412,,,0,0,,0,,0,
RoleParam,IN_USE,33,128,RoleParam,name+size,1.0000,,,0,0,,0,,0,
RuntimeSoundExpressionParam_Npc,IN_USE,459,48,RuntimeSoundExpressionParam,name+size,0.9608,,,0,0,,0,,0,
RuntimeSoundExpressionParam_Pc,IN_USE,677,48,RuntimeSoundExpressionParam,name+size,0.9956,,,0,0,,0,,0,
RuntimeSoundGlobalParam,IN_USE,15,32,RuntimeSoundGlobalParam,name+size,0.9333,,,0,0,,0,,0,
RuntimeSoundParam_Npc,IN_USE,260,64,RuntimeSoundParam,name+size,0.9962,,,0,0,,0,,0,
RuntimeSoundParam_Pc,IN_USE,165,64,RuntimeSoundParam,name+size,0.9939,,,0,0,,0,,0,
SeMaterialConvertParam,IN_USE,83,32,SeMaterialConvertParam,name+size,0.3494,,,0,0,,0,,0,
SfxModelParam,IN_USE,4,32,SfxModelParam,name+size,1.0000,,,0,0,,0,,0,
ShieldParam_Npc,IN_USE,5,96,ShieldParam,name+size,1.0000,,,0,0,,0,,0,
ShieldParam_Pc,IN_USE,2,96,ShieldParam,name+size,1.0000,,,0,0,,0,,0,
ShootReboundParam,IN_USE,51,196,ShootReboundParam,name+size,1.0000,,,0,0,,0,,0,
ShopLineupParam,IN_USE,248,32,ShopLineupParam,name+size,1.0000,,,0,0,,0,,0,
SkydomeAssetParam,IN_USE,47,40,SkydomeAssetParam,name+size,0.9787,,,0,0,,0,,0,
SoundAutoReverbEvaluationDistParam,IN_USE,6,20,SoundAutoReverbEvaluationDistParam,name+size,1.0000,,,0,0,,0,,0,
SoundAutoReverbSelectParam,IN_USE,5,32,SoundAutoReverbSelectParam,name+size,0.8000,,,0,0,,0,,0,
SoundCutsceneParam,IN_USE,105,40,SoundCutsceneParam,name+size,0.9619,,,0,0,,0,,0,
SoundIDSpatialSetting,IN_USE,6,32,SoundIDSpatialSetting,name+size,1.0000,,,0,0,,0,,0,
SoundParam,IN_USE,1,72,CartridgeBehaviorParam,size-only,1.0000,,,0,0,,0,,0,
SoundVoiceBankLoad,NO_DEF,66,64,,unmatched,0.0916,,,0,0,,0,,0,
SpEffectParam,IN_USE,4120,956,SpEffect,name+size,1.0000,,,0,0,,0,,1,
SpEffectVfxParam,IN_USE,791,196,SpEffectVfx,name+size,0.7004,,,0,0,,0,,0,
SubWindowCamParam,IN_USE,2,88,SubWindowCamParam,name+size,1.0000,,,0,0,,0,,0,
TalkParam,IN_USE,6013,64,TalkParam,name+size,1.0000,,,0,0,,0,,0,
TankArmourParam,IN_USE,11,52,TankArmourParam,name+size,1.0000,,,0,0,,0,,0,
TankBaseParam,IN_USE,8,64,TankBaseParam,name+size,1.0000,,,0,0,,0,,0,
TankWheelModelParam,IN_USE,85,28,TankWheelModelParam,name+size,0.9882,,,0,0,,0,,0,
TankWheelParam,IN_USE,35,36,TankWheelParam,name+size,1.0000,,,0,0,,0,,0,
TentativePlayerParam,IN_USE,2,2112,TentativePlayerParam,name+size,1.0000,,,0,0,,0,,6,
ThrowParam,LEFTOVER,131,132,ThrowParam,name+size,1.0000,DefChrId,CHR,26,82,0.3171,43,0.0000,0,
ThrustersLocomotionParam_PC,IN_USE,74,272,ThrustersLocomotionParam_PC,name(size diff -58),1.0000,,,0,0,,0,,0,
ThrustersParam_NPC,IN_USE,501,388,ThrustersParam_NPC,name(size diff -48),1.0000,,,0,0,,0,,0,
ThrustersParam_PC,IN_USE,103,700,ThrustersParam_PC,name+size,1.0000,,,0,0,,0,,0,
ThrustersSfxIdParam_NPC,EMPTY,6,32,ThrustersSfxIdParam,name+size,0.0000,,,0,0,,0,,0,
ThrustersSfxIdParam_PC,IN_USE,22,32,ThrustersSfxIdParam,name+size,0.9091,,,0,0,,0,,0,
TutorialActJudgeParam,IN_USE,31,9,TutorialActJudgeParam,name+size,0.5484,,,0,0,,0,,0,
TutorialParam,IN_USE,201,48,TutorialParam,name+size,0.9950,,,0,0,,0,,0,
UnlockParam_Archive,NO_DEF,4,16,,unmatched,0.1250,,,0,0,,0,,0,
UnlockParam_Archive_Logs,NO_DEF,50,16,,unmatched,0.2500,,,0,0,,0,,0,
UnlockParam_Archive_Terms,NO_DEF,2,16,,unmatched,0.1250,,,0,0,,0,,0,
UnlockParam_Archive_Tips,NO_DEF,114,16,,unmatched,0.1875,,,0,0,,0,,0,
UnlockParam_DLC,NO_DEF,1,24,,unmatched,0.3750,,,0,0,,0,,0,
UnlockParam_DecalImage,NO_DEF,36,16,,unmatched,0.1875,,,0,0,,0,,0,
UnlockParam_EmblemPiece,NO_DEF,1,24,,unmatched,0.3750,,,0,0,,0,,0,
UnlockParam_Equipment,NO_DEF,24,16,,unmatched,0.1354,,,0,0,,0,,0,
UnlockParam_MenuCommand,NO_DEF,22,16,,unmatched,0.1875,,,0,0,,0,,0,
UnlockParam_NamePlate_Solo,NO_DEF,21,16,,unmatched,0.1339,,,0,0,,0,,0,
UnlockParam_NamePlate_Team,NO_DEF,21,16,,unmatched,0.1339,,,0,0,,0,,0,
UnlockParam_NpAcArena,NO_DEF,41,16,,unmatched,0.1875,,,0,0,,0,,0,
UnlockParam_OsPoint,NO_DEF,41,16,,unmatched,0.1250,,,0,0,,0,,0,
UnlockParam_Trophy,NO_DEF,29,16,,unmatched,0.1466,,,0,0,,0,,0,
WepAbsorpPosParam,IN_USE,13,132,WepAbsorpPosParam,name+size,0.9231,,,0,0,,0,,0,
WetAspectParam,IN_USE,20,32,WetAspectParam,name+size,0.6000,,,0,0,,0,,0,
WhiteSignCoolTimeParam,IN_USE,10,16,WhiteSignCoolTimeParam,name+size,1.0000,,,0,0,,0,,0,
WorldMapLegacyConvParam,IN_USE,106,48,WorldMapLegacyConvParam,name+size,1.0000,,,0,0,,0,,0,
WwiseValueToStrParam_ReflectAuxBusType,NO_DEF,4,32,,unmatched,0.1562,,,0,0,,0,,0,
WwiseValueToStrParam_ReflectTextureType,NO_DEF,6,32,,unmatched,0.1875,,,0,0,,0,,0,
WwiseValueToStrParam_ReverbAuxBusType,NO_DEF,17,32,,unmatched,0.4375,,,0,0,,0,,0,
WwiseValueToStrParam_RuntimeReflectTextureType,NO_DEF,100,32,,unmatched,0.1300,,,0,0,,0,,0,
WwiseValueToStrParam_Switch_AttackPowerType,NO_DEF,3,32,,unmatched,0.1667,,,0,0,,0,,0,
WwiseValueToStrParam_Switch_BGMStatus,NO_DEF,8,32,,unmatched,0.2539,,,0,0,,0,,0,
WwiseValueToStrParam_Switch_BulletGenerateType,NO_DEF,3,32,,unmatched,0.1354,,,0,0,,0,,0,
WwiseValueToStrParam_Switch_DestroyedSeType,NO_DEF,37,32,,unmatched,0.1850,,,0,0,,0,,0,
WwiseValueToStrParam_Switch_GeneratorType,NO_DEF,3,32,,unmatched,0.1354,,,0,0,,0,,0,
WwiseValueToStrParam_Switch_Material,NO_DEF,115,32,,unmatched,0.1185,,,0,0,,0,,0,
